order,id,date,time,title,url,visitCount,typedCount,transition
0,4489,3/16/2026,22:45:15,Export Chrome History - Chrome Web Store,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,1,0,link
1,4487,3/16/2026,22:43:40,Export Chrome History - Chrome Web Store,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?utm_source=ext_app_menu,1,0,link
2,4486,3/16/2026,22:43:24,Chrome Web Store,https://chromewebstore.google.com/?utm_source=ext_app_menu,1,0,auto_bookmark
3,4485,3/16/2026,22:42:02,Google's products and services - About Google,https://about.google/products/,1,0,link
4,4484,3/16/2026,22:35:07,Download WhatsApp,https://www.whatsapp.com/download,1,0,link
5,4483,3/16/2026,22:35:02,whatsapp - Google Search,https://www.google.com/search?gs_ssp=eJzj4tLP1TcoSzLJKctRYDRgdGDw4ijPSCwpTiwoAABiYAe2&q=whatsapp&oq=&gs_lcrp=EgZjaHJvbWUqEggAEC4YJxjHARjqAhjRAxitBjISCAAQLhgnGMcBGOoCGNEDGK0GMgkIARAjGCcY6gIyCQgCECMYJxjqAjIMCAMQIxgnGOoCGK0GMgkIBBAuGCcY6gIyCQgFECMYJxjqAjIJCAYQIxgnGOoCMgwIBxAjGCcY6gIYrQYyGAgIEAAYQhiRAhi0AhjqAhiABBiKBRjnBjIYCAkQABhCGJECGLQCGOoCGIAEGIoFGOcGMhgIChAAGEIYkQIYtAIY6gIYgAQYigUY5wYyGAgLEAAYQhiRAhi0AhjqAhiABBiKBRjnBtIBCTIyNDJqMGoxNagCDLACAfEFhH0aW4lbnbDxBYR9GluJW52w&sourceid=chrome&ie=UTF-8,1,0,generated
6,123,3/16/2026,22:33:26,(55) WhatsApp,https://web.whatsapp.com/,16,0,auto_bookmark
7,123,3/16/2026,22:33:21,(55) WhatsApp,https://web.whatsapp.com/,16,0,link
8,4482,3/16/2026,22:33:18,whatsapp - Google Search,https://www.google.com/search?gs_ssp=eJzj4tLP1TcoSzLJKctRYDRgdGDw4ijPSCwpTiwoAABiYAe2&q=whatsapp&oq=what&gs_lcrp=EgZjaHJvbWUqEwgBEC4YgwEYxwEYsQMY0QMYgAQyBwgAEAAYjwIyEwgBEC4YgwEYxwEYsQMY0QMYgAQyDQgCEAAYgwEYsQMYgAQyDQgDEAAYgwEYsQMYgAQyEggEEAAYChiDARixAxiABBiKBTIGCAUQRRhBMgYIBhBFGDwyBggHEEUYPNIBCDM1MDVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,1,0,generated
9,123,3/16/2026,22:31:39,(55) WhatsApp,https://web.whatsapp.com/,16,0,auto_bookmark
10,4481,3/16/2026,22:28:49,Google Gemini,https://gemini.google.com/app/da1503304b2b4ebb,1,0,link
11,1158,3/16/2026,22:28:20,Google Gemini,https://gemini.google.com/app,33,0,auto_bookmark
12,4334,3/16/2026,22:27:36,Grow | LinkedIn,https://www.linkedin.com/mynetwork/grow/,5,0,link
13,4333,3/16/2026,22:27:35,Feed | LinkedIn,https://www.linkedin.com/mynetwork,2,0,link
14,4119,3/16/2026,22:25:14,Savitribai Phule Pune University: Overview | LinkedIn,https://www.linkedin.com/feed/,17,0,link
15,4479,3/16/2026,22:25:12,Riddhi Bhorde | LinkedIn,https://www.linkedin.com/in/riddhi-bhorde-0b06002a9/,5,0,link
